Symbol,Date,Adj Close
MSFT,4/20/09,14.507586
AAPL,7/17/18,188.579453
IBM,12/22/10,111.513962
IBM,8/27/15,126.328407
AAPL,6/29/17,139.35936
IBM,2/1/16,107.159706
IBM,3/11/13,166.67395
IBM,9/10/12,158.070343
MSFT,10/2/18,113.746071
IBM,9/6/16,142.971207
MSFT,9/13/16,53.561798
IBM,8/15/17,131.465302
IBM,3/16/17,160.725174
AAPL,11/12/18,192.599106
AAPL,11/26/18,173.20726
IBM,4/18/17,154.205154
MSFT,4/30/13,28.497641
MSFT,12/12/11,21.183544
IBM,9/1/15,121.344704
IBM,1/18/12,140.687347
AAPL,3/7/16,96.363358
IBM,12/8/10,110.772835
AAPL,3/9/15,118.078514
AAPL,7/1/13,52.312542
MSFT,7/5/16,48.182922
IBM,2/19/16,115.408783
IBM,7/1/15,138.741684
IBM,11/2/09,89.981415
MSFT,2/22/12,26.137606
IBM,9/2/09,86.645164
MSFT,3/23/11,20.781706
IBM,8/21/15,126.592102
IBM,11/20/09,95.183411
AAPL,3/27/09,13.371961
MSFT,8/9/18,107.91758
AAPL,9/2/15,105.243378
IBM,11/29/17,143.508575
AAPL,7/11/11,44.302036
IBM,6/18/14,149.545654
AAPL,7/8/13,53.057827
IBM,2/24/14,148.558578
IBM,12/27/12,152.25206
AAPL,5/20/13,56.621857
AAPL,9/5/17,157.823425
MSFT,12/6/18,108.324692
AAPL,7/6/11,44.021709
AAPL,3/27/14,69.979889
IBM,7/23/12,149.471588
IBM,12/30/14,132.032257
IBM,8/22/16,142.659134
MSFT,3/15/11,20.659649
MSFT,8/15/17,71.046837
IBM,6/9/16,135.620972
MSFT,11/1/16,56.660099
AAPL,5/25/17,149.24295
IBM,10/19/17,148.889725
IBM,9/18/12,162.884399
IBM,7/11/11,134.831802
IBM,10/24/18,122.705963
AAPL,9/12/18,218.519043
AAPL,5/26/17,148.990768
AAPL,8/23/13,64.470673
IBM,9/15/09,89.078346
IBM,6/21/11,128.074417
MSFT,4/21/14,35.399647
IBM,7/16/15,144.232605
IBM,11/23/11,138.263184
IBM,3/8/12,155.852463
MSFT,12/28/11,21.440971
IBM,2/18/10,96.249252
IBM,9/5/17,132.362885
IBM,7/23/18,139.039154
IBM,10/31/11,142.878998
IBM,11/14/13,146.749893
MSFT,4/15/10,24.576012
MSFT,7/19/10,20.176567
AAPL,2/20/13,57.001354
IBM,3/21/18,147.885086
AAPL,10/13/16,111.933395
MSFT,9/19/16,53.940792
MSFT,6/2/11,19.836807
AAPL,12/1/09,24.650208
AAPL,1/12/16,94.046272
AAPL,10/21/11,49.166496
MSFT,10/11/17,74.151871
AAPL,11/21/11,46.180508
AAPL,7/10/18,187.495941
AAPL,4/22/13,50.628777
MSFT,2/8/13,23.524567
AAPL,8/5/15,107.622925
IBM,9/30/16,141.633804
MSFT,9/4/15,39.295036
MSFT,6/3/13,30.856287
IBM,1/11/16,114.370621
IBM,3/24/15,135.409042
MSFT,1/28/16,48.33345
AAPL,2/21/12,64.431946
IBM,9/11/13,152.767258
IBM,7/23/09,86.963547
MSFT,3/14/17,61.812801
IBM,1/31/13,160.437073
IBM,11/1/10,109.020035
IBM,7/11/12,145.100937
IBM,3/16/11,117.363403
AAPL,11/16/09,25.859125
IBM,12/24/18,105.08287
AAPL,2/24/11,42.910404
AAPL,9/28/15,105.337044
IBM,9/5/12,153.421448
MSFT,11/5/14,42.985371
IBM,1/3/12,144.750931
AAPL,7/9/14,87.427269
IBM,12/2/10,110.925621
AAPL,7/7/11,44.702518
MSFT,5/12/15,43.100109
AAPL,8/28/12,84.81179
IBM,4/27/09,73.866753
AAPL,4/13/17,136.246109
IBM,4/6/17,156.3815
MSFT,11/20/18,100.903961
AAPL,11/24/15,111.846962
MSFT,7/2/18,98.411942
MSFT,6/27/16,45.602867
AAPL,1/20/16,91.063828
IBM,6/23/16,137.327057
IBM,1/24/12,149.125366
IBM,5/15/13,162.066818
AAPL,5/29/14,83.191628
AAPL,1/27/15,100.962952
AAPL,1/25/17,117.220779
MSFT,4/13/11,20.854939
IBM,4/27/16,130.489655
MSFT,11/6/15,50.647339
IBM,9/12/11,125.69146
IBM,10/7/14,152.15889
AAPL,7/10/09,17.335365
IBM,10/18/12,153.35849
AAPL,1/12/12,52.735695
AAPL,3/20/09,12.713685
IBM,8/18/09,87.794586
AAPL,11/19/14,106.078621
AAPL,7/7/09,16.944904
AAPL,8/25/15,97.186653
IBM,5/9/18,136.090424
MSFT,5/18/10,22.871574
IBM,8/5/16,144.531555
MSFT,1/7/13,22.790224
MSFT,10/20/16,54.243996
MSFT,6/6/14,37.023937
MSFT,6/28/11,21.130871
IBM,7/17/12,143.847717
AAPL,11/1/12,74.975708
IBM,8/24/12,155.568909
AAPL,7/2/14,85.676704
MSFT,6/2/16,49.416458
MSFT,1/16/13,23.089081
IBM,3/15/12,160.680664
AAPL,8/4/11,47.226719
AAPL,1/11/17,115.172195
MSFT,10/17/16,54.215561
IBM,1/10/12,140.87384
MSFT,5/30/18,97.368874
MSFT,12/11/18,107.729439
MSFT,10/6/16,54.70826
IBM,5/1/15,144.27298
AAPL,10/16/17,155.681183
AAPL,3/30/09,13.07661
AAPL,10/25/12,76.609627
IBM,11/4/10,111.659584
MSFT,5/14/15,44.347137
AAPL,7/9/10,32.490669
MSFT,10/7/16,54.765106
MSFT,3/17/14,33.724495
AAPL,11/1/10,38.067219
IBM,11/12/12,149.518417
IBM,1/11/18,153.462143
MSFT,5/9/12,25.711313
AAPL,10/27/15,107.313782
AAPL,6/13/12,71.604118
MSFT,5/4/10,23.986891
MSFT,5/10/10,23.039515
IBM,12/3/09,95.625763
IBM,8/3/11,137.790588
MSFT,9/16/13,28.637756
IBM,2/25/09,63.483284
AAPL,7/5/18,182.620163
AAPL,7/26/18,191.29808
AAPL,1/8/13,66.324783
AAPL,4/13/12,75.742722
